NO.,분류,계정,리전,서비스명,이름,환경,핵심/중요/일반,운영 체제,크기,개인 IP 주소,공용 IP 주소,디스크,WEB/WAS/DB/ETC
1,AWS,itopsprod,ap-northeast-2,mes,mes-prod-ec2-instance-was-2c,운영,핵심,Windows Server,r5.large,172.29.17.148,,60,WEB/WAS
2,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dspace-index-2c,운영,중요,Linux,r5a.4xlarge,172.29.129.116,,550,APP
3,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dspace-non-cas-2c,운영,중요,Linux,r5a.xlarge,172.29.129.77,,300,APP
4,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dswym-2c,운영,중요,Linux,r5a.xlarge,172.29.129.155,,300,WEB/WAS
5,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-auto-vue-2c,운영,중요,Windows Server,g4dn.xlarge,172.29.129.65,,500,APP
6,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dspace-cas-2c,운영,중요,Linux,r5a.2xlarge,172.29.129.222,,300,APP
7,AWS,itopsprod,ap-northeast-2,ehs,ehs-prod-ec2-instance-was-2c,운영,중요,Linux,r5a.large,172.29.141.149,,100,WEB/WAS
8,AWS,itopsprod,ap-northeast-2,mes,mes-prod-ec2-instance-was-2a,운영,중요,Windows Server,r5.large,172.29.16.232,,160,WEB/WAS
9,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dspace-cas-2a,운영,중요,Linux,r5a.2xlarge,172.29.128.74,,300,APP
10,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dswym-2a,운영,중요,Linux,r5a.xlarge,172.29.128.252,,300,WEB/WAS
11,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dswym-index-2a,운영,중요,Linux,r5a.xlarge,172.29.128.176,,150,APP
12,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dspace-non-cas-2a,운영,중요,Linux,r5a.xlarge,172.29.128.237,,300,APP
13,AWS,itopsprod,ap-northeast-2,plm,plm-prod-ec2-instance-3dspace-index-2a,운영,중요,Linux,r5a.4xlarge,172.29.128.221,,550,APP
14,AWS,itopsprod,ap-northeast-2,ehs,ehs-prod-ec2-instance-oz-report-2a,운영,일반,Linux,r5a.large,172.29.140.210,,200,APP
15,AWS,itopsprod,ap-northeast-2,ehs,ehs-prod-ec2-instance-was-2a,운영,일반,Linux,r5a.large,172.29.140.29,,100,WEB/WAS
16,AWS,itopsprod,ap-northeast-2,kess,kess-prod-ec2-instance-api-server-2a,운영,일반,Linux,t3.small,172.29.20.142,,20,APP
17,AWS,itopsprod,ap-northeast-2,cic,cic-prod-ec2-instance-service-was-server-2a,운영,핵심,Linux,m5.xlarge,172.29.35.16,,500,WEB/WAS
